Date,Open,High,Low,Close,Adj Close,Volume
12-03-2019,1316.900024,1334,1314.25,1331.349976,1324.017822,11228736
13-03-2019,1337,1360,1328.099976,1347.300049,1339.880127,11236048
14-03-2019,1349.75,1362,1336.099976,1341.550049,1334.161743,10402048
15-03-2019,1345,1358.800049,1311.199951,1321.650024,1314.371338,15893093
18-03-2019,1331,1357.949951,1329,1350.050049,1342.61499,10105234
19-03-2019,1360,1380,1343.099976,1376.550049,1368.968994,9805318
20-03-2019,1377.800049,1388,1364,1375.449951,1367.875,9892823
22-03-2019,1372.5,1380.900024,1336.699951,1341.75,1334.360596,11465112
25-03-2019,1330.599976,1336.849976,1316.699951,1324.449951,1317.155762,7951992
26-03-2019,1330.300049,1371.599976,1330,1367.25,1359.720215,9479288
27-03-2019,1377.949951,1377.949951,1344.25,1349.25,1341.819336,10094174
28-03-2019,1350.25,1369.800049,1342.800049,1360,1352.510132,10482938
01-04-2019,1370,1406.800049,1362.550049,1391.849976,1384.184692,10098281
02-04-2019,1398,1403.099976,1380.099976,1389.699951,1382.046509,8012636
03-04-2019,1392.75,1403,1372,1375.199951,1367.626343,7849461
04-04-2019,1379,1383.699951,1347.25,1353.050049,1345.598389,8375674
05-04-2019,1360.949951,1363.900024,1343,1353.900024,1346.443726,6728239
08-04-2019,1356,1357.5,1323.699951,1329.25,1321.929443,8723577
09-04-2019,1328.900024,1340.699951,1321,1334.449951,1327.100708,9497621
10-04-2019,1337.949951,1348,1326.5,1331.400024,1324.067627,7612711
11-04-2019,1332.949951,1353,1329,1346.800049,1339.382813,5741333
12-04-2019,1350,1356.900024,1336.650024,1343.099976,1335.703125,5919742
15-04-2019,1345,1348.949951,1335,1340.150024,1332.769409,4245127
16-04-2019,1345,1360,1340,1343.75,1336.349609,7936553
18-04-2019,1375,1389.75,1365,1385.949951,1378.317139,17960482
22-04-2019,1360,1367,1341.300049,1345.349976,1337.940796,10792748
23-04-2019,1348,1373,1346,1363.849976,1356.338867,9055300
24-04-2019,1370.300049,1394.800049,1366.25,1389.5,1381.847656,7360887
25-04-2019,1389.099976,1412.400024,1362.599976,1372.400024,1364.841797,13929820
26-04-2019,1375,1395.949951,1370.699951,1392.800049,1385.129517,6889444
30-04-2019,1396.400024,1396.400024,1366.800049,1392.800049,1385.129517,10217019
02-05-2019,1392,1413.900024,1382.099976,1405.050049,1397.312012,8682505
03-05-2019,1407.949951,1417.5,1402.650024,1408.849976,1401.091064,6510169
06-05-2019,1398,1402.800049,1378.099976,1384.900024,1377.272949,7237910
07-05-2019,1394.800049,1395,1340.199951,1343.5,1336.100952,8877095
